no,provinsi,kabkota,alamat,yayasan,pulau,lat,lng,flags
201,Kalimantan Selatan,Kota Banjarmasin,Jl. Simpang Telawang No. 52 Rt. 07 Rw.01 Kelurahan Kertak Baru Ilir,Yayasan Cahaya Kesejahteraan Madani,Luar Jawa,-3.32,114.59,
202,Kalimantan Selatan,Kotabaru,"Jl Hidayah Rt 013, Semayap",Yayasan Cahaya Kesejahteraan Madani,Luar Jawa,-3.24,116.17,
203,Kalimantan Selatan,Tanah Bumbu,Jl. Kodeko Km.2 Desa Gunung Antasari,Yayasan Cahaya Kesejahteraan Madani,Luar Jawa,-3.45,115.95,
204,Kalimantan Selatan,Tanah Laut,Jl. Empat Lima No.18 Sarang Halang,Yayasan Cahaya Kesejahteraan Madani,Luar Jawa,-3.8,114.77,
205,Kalimantan Selatan,Tapin,Jl. Jendral Sudirman Komplek Griya Rantau Asri Blok C No 05,Yayasan Forum Relawan Jaber,Luar Jawa,-2.92,115.15,
206,Kepulauan Bangka Belitung,Bangka Barat,Jl. Gang Bioskop Rt 15 Rw 15 Kelurahan Kelapa,Yayasan Prabu Center Kosong Delapan,Luar Jawa,-2.07,105.17,
207,Kepulauan Bangka Belitung,Pangkal Pinang,Jl. Adhiyaksa Kelurahan Kacang Pedang Kec. Gerunggang Kota Pangkalpinang Provinsi Bangka Belitung,Yayasan Prabu Center Kosong Delapan,Luar Jawa,-2.13,106.11,
208,Kepulauan Riau,Karimun,Perumahan Bukit Balai Permai. Jln Kenanga No 53. Kelurahan Kapling Rt 01 Rw 02 Tebing Kanupaten Karimun Provinsi Kepulauan Riau,Yayasan Kali Kedua Indonesia,Luar Jawa,1,103.42,
209,Kepulauan Riau,Kota Batam,"Blok D No. 18, Jl. Tiban I, Patam Lestari",Yayasan Mataram Jaya Sentosa,Luar Jawa,1.08,104.03,
210,Kepulauan Riau,Kota Batam,Teluk Pandan Blok G No 5 Kec. Batu Aji Kota Batam,Pasundan Bakti Pertiwi,Luar Jawa,1.06673,104.04216,
211,Kepulauan Riau,Batam,Pantai Mak Dare Kampung Melayu Rt.01 / Rw.08. Kelurahan Batu Besar Kecamatan Nongsa Batam,Darush Sholihin Batam,Luar Jawa,1.08,104.03,
212,Kepulauan Riau,Karimun,"Jl. Parit Baru Rt 005/Rw 001, Desa Sei Sebesi, Kab. Karimun, Kundur",Darush Sholihin Batam,Luar Jawa,0.98673,103.43216,
213,Kepulauan Riau,Kota Batam,"Ruko Greenland Block V No. 4 Rt 005 /Rw002, Kel. Teluk Tering, Kec, Batam Kota",Darush Sholihin Batam,Luar Jawa,1.08223,104.00464,
214,Lampung,Bandar Lampung,Pengajaran,Yayasan Alrafaeyza Malik Nurman,Luar Jawa,-5.43,105.26,alamat_minim
215,Lampung,Bandar Lampung,Sukarame,Yayasan Alrafaeyza Malik Nurman,Luar Jawa,-5.44327,105.27216,alamat_minim
216,Lampung,Lampung Selatan,"Jl.Raya Pemanggilan Dusun, Jl. Srimulyo 2 Gg. Sejahtera 5, Pemanggilan,Kec.Natar,Lampung Selatan",Bassam Catering,Luar Jawa,-5.55,105.55,
217,Lampung,Lampung Selatan,"Dusun Iv Rt012/007 Gg. Kutilang, Way Hui, Kec. Jati Agung, Lampung Selatan",Juno Catering,Luar Jawa,-5.56327,105.56216,
218,Lampung,Mesuji,"Brabasan, Kec. Tj. Raya, Kabupaten Mesuji, Lampung",Berkah Manfaat,Luar Jawa,-3.92,105.58,
219,Lampung,Pesawaran,"Jl. A. Yani, Ds. Tamansari, Kec. Gedong Tataan, Pesawaran",Dapur Syalu,Luar Jawa,-5.42,105.15,
220,Lampung,Tulang Bawang,"Jl. Ethanol Rt. 01 Rw.06 Ds. Tunggal Warga, Kec. Banjar Agung, Tulang Bawang",Dapur Berlian,Luar Jawa,-4.48,105.5,
221,Lampung,Tulang Bawang Barat,"Pulung Kencana Rk 2/Rt 3, Kec. Tulang Bawang Tengah, Tulang Bawang Barat",Catering Barokah Permai,Luar Jawa,-4.42,105.1,
222,Lampung,Lampung Selatan,Natar,Yayasan Alrafaeyza Malik Nurman,Luar Jawa,-5.54777,105.52464,alamat_minim
223,Lampung,Lampung Timur,"Desa Taman Cari, Kec. Purbolinggo, Lampung Timur, Rt/Rw: 015/07",Yayasan Indonesia Food Security Review,Luar Jawa,-5.1,105.57,
224,Lampung,Lampung Timur,Srimenanti,Ahmad Faisol Sb,Luar Jawa,-5.11327,105.58216,alamat_minim
225,Lampung,Pesawaran,Kurungan Nyawa,Yayasan Alrafaeyza Malik Nurman,Luar Jawa,-5.43327,105.16216,
226,Lampung,Pringsewu,Tulung Agung,Yayasan Bangun Sukses Mandiri,Luar Jawa,-5.36,104.97,
227,Lampung,Way Kanan,Lembahsung,Yayasan Prabu Center Kosong Delapan,Luar Jawa,-4.4,104.55,alamat_minim
228,Lampung,Way Kanan,Tamansari,Yayasan Prabu Center Kosong Delapan,Luar Jawa,-4.41327,104.56216,alamat_minim
229,Lampung,Way Kanan,Bakti Nagara,Yayasan Cahaya Langowan Nusantara,Luar Jawa,-4.39777,104.52464,
230,Maluku,Kota Ambon,"Jl. Raya Stain, Batu Merah, Kota Ambon",Yayasan Seram Raya Al Aziz,Luar Jawa,-3.7,128.18,
231,Maluku,Kota Ambon,"Jl.Amanhuse, Lorong Sipadore Desa Erie",Yayasan Pelangi Maluku,Luar Jawa,-3.71327,128.19216,
232,Maluku,Kota Ambon,"Jl. Dr. Kayadoe, Kel Kudamati, Nusaniwe Kota Ambon",Yayasan Pelangi Maluku,Luar Jawa,-3.69777,128.15464,
233,Maluku,Seram Bagian Barat,"Desa Kamal, Kairatu Barat",Yayasan Seram Raya Al Aziz,Luar Jawa,-3.2,128.3,
234,Papua,Kabupaten Jayapura,Puspenka Hawai Sentani Kab. Jayapura,Yayasan Prabu 08,Luar Jawa,-2.57,140.52,
235,Papua,Kabupaten Jayapura,Jl. Raya Kemiri Sentani Kab. Jayapura Samping Saga Fresh Pasar Baru,Yayasan Prabu 08,Luar Jawa,-2.58327,140.53216,
236,Papua,Kabupaten Jayapura,"Kompleks Sit Insan Cendekia Jayapura, Jl. Yowanibi, Rt.001/Rw.011, Doyo Baru, Distrik Waibu, Kabupaten Jayapura, Papua 99369",Yayasan Insan Cendikia Jayapura,Luar Jawa,-2.56777,140.49464,
237,Papua,Kabupaten Jayapura,"Jalan Samping Kantor Kelurahan Sentani Kota, Kec. Sentani, Kabupaten Jayapura, Papua 99359",Yayasa Kasih Iman Samuel Papua,Luar Jawa,-2.55103,140.54474,
238,Papua,Sarmi,Jl. Basecamp Sarmi,Yayasan Pendidikan Dan Persekolahan Katolik Fransiskus Asisi,Luar Jawa,-1.87,138.75,
239,Papua,Kepulauan Yapen,"Jln. Pertamina, Rt.001/001, Barawaikap, Yapen Selatan.",Kitong Bisa,Luar Jawa,-1.87,136.23,
240,Papua,Kota Jayapura,"Jl. Raya Abepura(Depan Kantor Samsat), Kel. Kotabaru , Kec. Abepura, Kota Jayapura, Papua",Yayasan Bersama Berkarya Papua,Luar Jawa,-2.53,140.7,
241,Papua,Kota Jayapura,"Jl. Tobati Holtekamp Pantai Hamadi, Kec. Jayapura Selatan",Yayasan Anak Sehat Berkualitas,Luar Jawa,-2.54327,140.71216,
242,Papua Barat,Kaimana,"Jl. Perumahan Dpr Air Tiba, Kelurahan Krooy, Kecamatan Kaimana, Kaimana",Yayasan Kasih El- Shaday,Luar Jawa,-3.66,133.77,
243,Papua Barat,Kaimana,"Jl Pasir Lombo, Bantemi, Kelurahan Krooy, Kecamatan Kaimana, Kaimana",Yayasan Kasih El- Shaday,Luar Jawa,-3.67327,133.78216,
244,Papua Barat,Teluk Bintuni,Jalur 1 Sp.5 Kampung Argosigemerai,Rannuan Sangtorayaan Manokwari,Luar Jawa,-2.1,133.52,
245,Papua Barat Daya,Kota Sorong,"Jl. Pendidikan No. 22, Kel. Klabulu, Distrik Malaimsimsa, Kota Sorong Papua Barat Daya",Yayasan Keadilan Papua Sejahtera,Luar Jawa,-0.88,131.25,
246,Papua Pegunungan,Jayawijaya,"Jl. Bhayangkara, Distrik Wamena Kota, Kel. Sinakma, Jayawijaya, Prov. Papua Pegunungan.",Yayasan Kitong Bisa,Luar Jawa,-4.1,138.95,
247,Papua Pegunungan,Jayawijaya,"Jl. Bhayangkara, Kec. Wamena, Jayawijaya",Yayasan Pendidikan Islam ( Yapis ) Di Tanah Papua,Luar Jawa,-4.11327,138.96216,
248,Papua Tengah,Mimika,Jl. Cendrawasih Sp.3 Kuala Kendana Kelurahan Karang Senang Papua Tengah,Yayasan Kitong Bisa,Luar Jawa,-4.55,136.89,
249,Riau,Indragiri Hilir,"Jl. Kapten Mukhtar No. 12, Tagaraja, Kateman, Indragiri Hilir, Riau",Yayasan Komunitas Emak Sehat Inhil,Luar Jawa,-0.32,103.16,
250,Riau,Kota Pekanbaru,Jl Ega V No 7-8 Kel Sidomulyo Barat Kec Tuah Madani Kota Pekanbaru,Yayasan Sinergi Setia Tani,Luar Jawa,0.51,101.44,
251,Riau,Rokan Hilir,Jl. Lintas Ujung Tanjung - Bagan Siapiapi. Km 35. Pematang Batu Hampar. Kec. Batu Hampar. Rokan. Hilir,Yayasan Intan Permata Rokan Hilir,Luar Jawa,2.15,100.82,
252,Sulawesi Barat,Majene,Sirindu,Yayasan Pundi Amal Nusantara,Luar Jawa,-3.55,118.97,alamat_minim
253,Sulawesi Barat,Polewali Mandar,Jl. H. Andi Depu Kel. Takatidung,Darul Ilhamiyah Nusantara,Luar Jawa,-3.43,119.35,
254,Sulawesi Selatan,Bantaeng,"Jl. Bangau No. A31, Kel. Pallantikang",Cahaya Bumi Angkasa,Luar Jawa,-5.48,119.98,
255,Sulawesi Selatan,Bantaeng,Panaikang Kel. Bonto Manai,Cahaya Bumi Angkasa,Luar Jawa,-5.49327,119.99216,
256,Sulawesi Selatan,Bone,Jl. Reformasi,Wakaf Tunai Indonesia,Luar Jawa,-4.54,120.33,
257,Sulawesi Selatan,Bone,Jl. Poros Laccori (Samping Pasar Baru Pattiro),Wakaf Tunai Indonesia,Luar Jawa,-4.55327,120.34216,
258,Sulawesi Selatan,Bulukumba,"Jln. Dr. Samratulangi No.Lr.2, Caile",Darul Ilhamiyah Nusantara,Luar Jawa,-5.55,120.2,
259,Sulawesi Selatan,Bulukumba,Jalanjang,Yayasan Perguruan Amanna Gappa Indonesia,Luar Jawa,-5.56327,120.21216,alamat_minim
260,Sulawesi Selatan,Bulukumba,Kalumeme,Yayasan Bowo Garuda Indonesia,Luar Jawa,-5.54777,120.17464,alamat_minim
261,Sulawesi Selatan,Bulukumba,Caile,Sinar Cerah Masa Kini,Luar Jawa,-5.53103,120.22474,alamat_minim
262,Sulawesi Selatan,Gowa,Sokkolia,Cahaya Bumi Angkasa,Luar Jawa,-5.31,119.55,alamat_minim
263,Sulawesi Selatan,Gowa,"Bontocinde, Panakkukang",Cahaya Bumi Angkasa,Luar Jawa,-5.32327,119.56216,
264,Sulawesi Selatan,Gowa,Bili-Bili,Wakaf Tunai Indonesia,Luar Jawa,-5.30777,119.52464,alamat_minim
265,Sulawesi Selatan,Gowa,"Jl. Poros Galesong, Limbung",Nurul Ilham Makassar,Luar Jawa,-5.29103,119.57474,
266,Sulawesi Selatan,Gowa,"Jln Sultan Hasanuddin No. 40, Pandang-Pandang",Nurul Ilham Makassar,Luar Jawa,-5.34545,119.54373,
267,Sulawesi Selatan,Luwu Timur,Ussu,Yayasan Bowo Garuda Indonesia,Luar Jawa,-2.62,121.09,alamat_minim
268,Sulawesi Selatan,Makassar,Emy Saelan,Cahaya Bumi Angkasa,Luar Jawa,-5.15,119.43,alamat_minim
269,Sulawesi Selatan,Makassar,Gunung Sari,Nurul Ilham Makassar,Luar Jawa,-5.16327,119.44216,alamat_minim
270,Sulawesi Selatan,Makassar,Jl. Racing Centre,Nurul Ilham Makassar,Luar Jawa,-5.14777,119.40464,
271,Sulawesi Selatan,Makassar,Bangkala,Yasika Center Indonesia,Luar Jawa,-5.13103,119.45474,alamat_minim
272,Sulawesi Selatan,Makassar,Batua,Yayasan Perguruan Amanna Gappa Indonesia,Luar Jawa,-5.18545,119.42373,alamat_minim
273,Sulawesi Selatan,Maros,"Jl. Jemb. Lama No. 75, Bontoa",Wakaf Tunai Indonesia,Luar Jawa,-5,119.57,
274,Sulawesi Selatan,Maros,Maccini Baji,Hikmah Lewai Berkah,Luar Jawa,-5.01327,119.58216,
275,Sulawesi Selatan,Maros,Bontoa,Yayasan Pesantren Mandiri Makasar,Luar Jawa,-4.99777,119.54464,alamat_minim
276,Sulawesi Selatan,Pangkajene Dan Kepulauan,Jl. Poros Biringkassi,Cahaya Bumi Angkasa,Luar Jawa,-4.83,119.55,
277,Sulawesi Selatan,Pangkajene Dan Kepulauan,"Jl. Ambarala No 20, Tumampua",Cahaya Bumi Angkasa,Luar Jawa,-4.84327,119.56216,
278,Sulawesi Selatan,Pinrang,Lanrisang,Berkah Ininnawa Nusantara,Luar Jawa,-3.79,119.65,alamat_minim
279,Sulawesi Selatan,Pinrang,Maccorawalie,Yayasan Biharul Ulum Ma'arif,Luar Jawa,-3.80327,119.66216,alamat_minim
280,Sulawesi Selatan,Pinrang,Temmassarangnge,Yayasan Bowo Garuda Indonesia,Luar Jawa,-3.78777,119.62464,alamat_minim
281,Sulawesi Selatan,Sidenreng Rappang,Rijang Pittu,Yayasan Bowo Garuda Indonesia,Luar Jawa,-3.86,119.98,
282,Sulawesi Selatan,Soppeng,Jl. Kemakmuran No. 77 Lemba,Nurul Ilham Makassar,Luar Jawa,-4.35,119.89,
283,Sulawesi Selatan,Gowa,Jalan Poros Pallangga Desa Jenetallasa,Yayasan Cahaya Langowan Nusantara,Luar Jawa,-5.27604,119.5284,
284,Sulawesi Selatan,Bulukumba,"Jl. Dato Tiro Ela-ela, Kelurahan Kalumeme",Yayasan Bowo Garuda Indonesia,Luar Jawa,-5.58545,120.19373,
285,Sulawesi Selatan,Pinrang,Temmassarangnge,Yayasan Bowo Garuda Indonesia,Luar Jawa,-3.77103,119.67474,alamat_minim
286,Sulawesi Selatan,Makassar,Jl. Pettarani 2 Kel. Tamamaung Kota Makassar,Yayasan Tangan Fatima Bekerja,Luar Jawa,-5.11604,119.4084,
287,Sulawesi Selatan,Bantaeng,Jl. Gagak Kel. Palantikang Kab. Bantaeng,Yayasan Pendidikan Akasyah,Luar Jawa,-5.47777,119.95464,
288,Sulawesi Selatan,Pinrang,"Jl. Brigjen Katamso No. 27, Kel. Maccorawalie, Kode Pos 91212",Yayasan Organisasi Masyarakat Sipil Barisan Rakyat Peduli,Luar Jawa,-3.82545,119.64373,
289,Sulawesi Selatan,Maros,"Jl. poros makassar maros Darul Istiqamh, KM 25, Kelurahan Bontoa",Yayasan Pesantren Mandiri Makassar,Luar Jawa,-4.98103,119.59474,
290,Sulawesi Selatan,Pinrang,"Jl. Ir Juanda, Kelurahan Maccorawalie, Kecamatan Watang Sawitto, Kabupaten Pinrang, Sulawesi Selatan",Yayasan Biharul Ulum Ma'arif,Luar Jawa,-3.75604,119.6284,
291,Sulawesi Selatan,Makassar,"Jl. Asrama Haji Sudiang, Kel Bakung",Bentara Sejarah Sulawesi,Luar Jawa,-5.16145,119.47258,
292,Sulawesi Selatan,Gowa,Jl Tambora Land III Tamanyeleng Kec Barombong Kab Gowa,Yayasan Pendidikan Akasyah,Luar Jawa,-5.32145,119.59258,
293,Sulawesi Selatan,Gowa,"Jl. Poros Sungguminasa Takalar, Kel. Mataallo, Kec. Bajeng, Kab. Gowa",Yayasan Pendidikan Akasyah,Luar Jawa,-5.33195,119.50774,
294,Sulawesi Selatan,Toraja Utara,"Jln.Pongtiku No. 46 Ranteapo, Toraja Utara",Peleton Media Kasih,Luar Jawa,-2.97,119.9,
295,Sulawesi Selatan,Kepulauan Selayar,"Jl. Sutoyo No. 4, Kel. Benteng, Kec. Benteng, Kab. Kepulauan Selayar",Yayasan Planet Bumi Indonesia,Luar Jawa,-6.12,120.46,
296,Sulawesi Selatan,Pinrang,"Jl. Monginsidi, Kel. Pacongang, Kec. Paleteang",Yayasan Wahana Penelitian dan Pengembangan Daerah,Luar Jawa,-3.80145,119.69258,
297,Sulawesi Tengah,Toli Toli,Panasakan,Yayasan Berkat Gemilang Nusantara,Luar Jawa,1.05,120.8,alamat_minim
298,Sulawesi Tenggara,Bombana,"Jln. Ahmad Yani, Kasipute",Darul Ilhamiyah Nusantara,Luar Jawa,-4.6,121.85,
299,Sulawesi Tenggara,Kendari,Wowawanggu,Yayasan Lazuardi Kendari,Luar Jawa,-3.97,122.51,alamat_minim
300,Sulawesi Tenggara,Kolaka Timur,Woha,Yayasan Bowo Garuda Indonesia,Luar Jawa,-3.95,121.85,alamat_minim
301,Sulawesi Tenggara,Muna Barat,Barangka,Arman Hasa,Luar Jawa,-4.85,122.55,alamat_minim
302,Sulawesi Utara,Bolaang Mongondow,"Jl. Trans Sulawesi, Desa Kosio, Kec. Dumoga Tengah, Bolaang Mongondow",-,Luar Jawa,0.75,124.1,yayasan_kosong
303,Sulawesi Utara,Bolaang Mongondow Utara,"Jln. Trans Sulawesi, Desa Tombulang Timur Kec. Pinogaluman Bolmut",-,Luar Jawa,0.8,123.5,yayasan_kosong
304,Sulawesi Utara,Kotamobagu,"Jl. Adampe Dolot, Kelurahan Mogolaing Kec. Kotamobagu Barat",-,Luar Jawa,0.73,124.32,yayasan_kosong
305,Sumatera Barat,Kota Payakumbuh,"Jalan Raya Gajah Mada Lingkar Utara, Koto Baru",-,Luar Jawa,-0.22,100.63,yayasan_kosong
306,Sumatera Barat,Pesisir Selatan,"Kampung Luhung, Nagari Pasar Baru, Bayang, Pesisir Selatan",Yayasan Tuah Cipta Berdaya,Luar Jawa,-1.35,100.58,
307,Sumatera Selatan,Banyuasin,Jl. Thalib Wali No.03-04 Rt.10 Rw.04 Pangkalan Balai Banyuasin Iii Banyuasin,Yayasan Al Fatih Center Banyuasin,Luar Jawa,-2.75,104.37,
308,Sumatera Selatan,Ogan Komering Ilir,"Perumahan Palem Agung, Kel.Kutaraya Rt.011",Yayasan Sahabat Pelangi,Luar Jawa,-3.39,104.83,
309,Sumatera Selatan,Ogan Komering Ulu,"Jln. Imam Bonjol, Simpang 3 Lekis, Rt018/Rw006",Yayasan Sahabat Pelangi,Luar Jawa,-4.13,104.17,
310,Sumatera Selatan,Palembang,Jl.Sukawinatan Rt.68 Rw.10 No.94,Yayasan Pendidikan Gani Nusantara,Luar Jawa,-2.98,104.76,
311,Sumatera Utara,Deli Serdang,Jl. M. Yusuf Jintan Desa Percut,Yayasan Cahaya Semesta Bersama,Luar Jawa,3.55,98.87,
312,Sumatera Utara,Asahan,"Jl. Merpati, Gambir Baru, Kisaran Timur, Asahan,",Yayasan Insan Mandiri Berkemajuan,Luar Jawa,2.98,99.62,
313,Sumatera Utara,Kota Binjai,"Jl. T. Amir Hamzah, Jalan Pinus Lingkungan V, Kel. Jati Utomo",Yayasan Cahaya Semesta Bersama,Luar Jawa,3.6,98.49,
314,Sumatera Utara,Kota Medan,"Jl. Perbatasan, Kelurahan Siti Rejo Ii",Yayasan Cahaya Semesta Bersama,Luar Jawa,3.59,98.67,
315,Sumatera Utara,Nias,"Jl. Gunung Sitoli, Tulumbaho, Kec Gido, Nias",Yayasan Insan Mandiri Berkemajuan,Luar Jawa,1.28,97.6,